path	line	kind	op	function	callee	when	note
_corpus.py	55	NOT:corpus	read	iter_lessons	defender._io.read_text_utf8	n-a	reads each lesson .md file from the corpus dir
_corpus.py	198	NOT:corpus	read	read_query_template	defender._io.read_text_utf8	n-a	reads a query-template file from the corpus
_first_party_key.py	13	NOT:repo	read	_read_env_key	defender._io.read_text_soft	n-a	reads a repo .env file for ANTHROPIC_API_KEY, not a run record
_flock.py	30	NOT:queue	mkdir	open_lock	.mkdir	n-a	parent dir for a generic queue/repo lock file, not a run record
_flock.py	31	NOT:not_file_io	append	open_lock	.open	n-a	generic lock-file opener; attributed at callers
_io.py	41	NOT:not_file_io	read	read_text_utf8	.read_text	n-a	generic helper; attributed at callers
_io.py	169	NOT:not_file_io	read	read_plain	.read	n-a	generic _io reader internal, path-agnostic
_io.py	315	NOT:not_file_io	read	_walk_chain	.open	n-a	generic helper; attributed at callers
_io.py	463	NOT:not_file_io	read	read	.read	n-a	generic _io reader internal, path-agnostic
_io.py	469	NOT:not_file_io	read	read_jsonl	.read	n-a	generic _io reader internal (delegates to self.read), path-agnostic
_io.py	512	NOT:not_file_io	read	_directory_fd	.open	n-a	generic helper; attributed at callers
_io.py	547	NOT:not_file_io	read	bind	.open	n-a	generic helper; attributed at callers
_io.py	657	NOT:not_file_io	read	read_jsonl_rows_report	.read_text	n-a	generic helper; attributed at callers
_io.py	678	NOT:not_file_io	mkdir	append_jsonl	.mkdir	n-a	generic JSONL-append primitive internal, path-agnostic
_io.py	679	NOT:not_file_io	append	append_jsonl	.open	n-a	generic helper; attributed at callers
_io.py	771	NOT:not_file_io	write	open_nofollow_fd	os.open	n-a	generic helper; attributed at callers
_io.py	822	NOT:not_file_io	write	write_guarded	os.open	n-a	generic helper; attributed at callers
_io.py	832	NOT:not_file_io	write	write_guarded	os.replace	n-a	generic write-guarded primitive internal, path-agnostic
_io.py	835	NOT:not_file_io	unlink	write_guarded	os.remove	n-a	cleanup of its own staged temp file on a failed write, path-agnostic
_io.py	875	NOT:not_file_io	mkdir	_ensure_dir_component	os.mkdir	n-a	generic guarded-mkdir component internal, path-agnostic
_io.py	943	NOT:not_file_io	mkdir	guarded_mkdir	os.makedirs	n-a	creates the trust-root base dir itself, path-agnostic
_io.py	976	NOT:not_file_io	unlink	sweep_staged	os.remove	n-a	sweeps orphaned staged files tree-wide, path-agnostic
_provenance.py	387	provenance	write	write	defender._io.write_guarded	host	writes the per-run provenance stamp before the box exists
_provenance.py	403	provenance	read	read	defender._io.read_guarded	n-a	reads the per-run provenance stamp
_report.py	110	report	read	read_report	defender._io.read_text_soft	end	reads a completed run's report.md
_scaffold_rules.py	222	NOT:corpus	read	check_system_skill	defender._io.read_text_soft	n-a	reads a system's SKILL.md for frontmatter validation
_yaml.py	305	NOT:corpus	read	load_reviewed_mapping	.read_text	n-a	reads a reviewed policy file, e.g. verb-grants.yaml or lead-zero.yaml
evals/harness.py	35	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir tmp/defender/learning/_pending for materialized eval scenario
evals/harness.py	36	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir tmp/defender/lessons for materialized eval scenario
evals/harness.py	43	NOT:queue	copy	materialize	shutil.copy	n-a	seeds scenario findings.jsonl into materialized _pending/findings.jsonl queue
evals/harness.py	47	NOT:eval_case	copy	materialize	shutil.copytree	n-a	"copies scenario's fixture ""runs"" dir into materialized learning/runs tree"
evals/harness.py	52	NOT:corpus	copy	materialize	shutil.copy	n-a	seeds scenario lesson fixtures into materialized defender/lessons corpus dir
evals/harness.py	76	NOT:eval_result	mkdir	capture_results	.mkdir	n-a	mkdir eval results output dir under evals/results
evals/harness.py	79	NOT:eval_result	mkdir	capture_results	.mkdir	n-a	mkdir lessons_out under eval results dir
evals/harness.py	81	NOT:eval_result	copy	capture_results	shutil.copy	n-a	harvests materialized lessons/*.md into the harness's own result dir
evals/harness.py	84	NOT:eval_result	mkdir	capture_results	.mkdir	n-a	mkdir pending_out under eval results dir
evals/harness.py	87	NOT:eval_result	copy	capture_results	shutil.copy	n-a	harvests materialized _pending/* files into the harness's own result dir
evals/harness.py	92	NOT:eval_result	write	capture_results	.write_text	n-a	writes git_log.txt into the harness result dir
evals/harness.py	94	NOT:eval_result	write	capture_results	.write_text	n-a	writes author.stdout capture into the harness result dir
evals/harness.py	95	NOT:eval_result	write	capture_results	.write_text	n-a	writes author.stderr capture into the harness result dir
evals/harness.py	96	NOT:eval_result	write	capture_results	.write_text	n-a	writes rc.txt (author return code) into the harness result dir
evals/harness.py	100	NOT:eval_result	write	capture_results	.write_text	n-a	writes timing.txt (wall seconds + effort) into the harness result dir
evals/harness.py	119	NOT:eval_result	mkdir	main	.mkdir	n-a	mkdir evals/results top-level dir
evals/harness.py	121	NOT:eval_case	mkdir	main	.mkdir	n-a	mkdir evals/_tmp scenario container dir
evals/harness.py	124	NOT:eval_case	mkdir	main	.mkdir	n-a	mkdir this scenario's materialized tmp dir
evals/harness.py	139	NOT:eval_case	write	main	shutil.rmtree	n-a	rmtree cleanup of materialized scenario tmp dir
evals/harness_lead.py	28	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir tmp/defender/learning materialized tree
evals/harness_lead.py	37	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir parent dirs copying learning .py/.md into tmp
evals/harness_lead.py	38	NOT:repo	copy	materialize	shutil.copy	n-a	copies real defender/learning package .py/.md source into sandboxed tmp tree
evals/harness_lead.py	42	NOT:repo	copy	materialize	shutil.copy	n-a	copies real defender/_untrusted.py source module into sandboxed tmp tree
evals/harness_lead.py	44	NOT:corpus	copy	materialize	shutil.copytree	n-a	copies the real gather query catalog into the sandboxed tmp tree
evals/harness_lead.py	49	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir tmp/defender/scripts/adapters materialized tree
evals/harness_lead.py	52	NOT:eval_case	mkdir	materialize	.mkdir	n-a	mkdir parent dir copying skill SKILL.md into tmp
evals/harness_lead.py	53	NOT:corpus	copy	materialize	shutil.copy	n-a	copies real skills/*/SKILL.md files into the sandboxed tmp tree
evals/harness_lead.py	58	NOT:tmp	write	materialize	.write_text	n-a	writes a synthetic stub adapter (VERBS={}) to satisfy the resolver in the sandbox
evals/harness_lead.py	64	NOT:eval_case	copy	materialize	shutil.copytree	n-a	overlays scenario's catalog_overlay fixture onto the materialized query catalog
evals/harness_lead.py	76	NOT:eval_case	copy	materialize	shutil.copytree	n-a	copies scenario's single fixture run dir into the sandboxed runs/ tree
evals/harness_lead.py	129	NOT:eval_result	mkdir	capture	.mkdir	n-a	mkdir results_lead output dir for scenario
evals/harness_lead.py	130	NOT:eval_result	write	capture	.write_text	n-a	writes lead_author.stdout capture into the harness result dir
evals/harness_lead.py	131	NOT:eval_result	write	capture	.write_text	n-a	writes lead_author.stderr capture into the harness result dir
evals/harness_lead.py	132	NOT:eval_result	write	capture	.write_text	n-a	writes rc.txt (lead-author return code) into the harness result dir
evals/harness_lead.py	134	NOT:eval_result	write	capture	.write_text	n-a	writes git_log.txt into the harness result dir
evals/harness_lead.py	136	NOT:eval_result	write	capture	.write_text	n-a	writes head_show.txt (git show --stat HEAD) into the harness result dir
evals/harness_lead.py	137	NOT:eval_result	write	capture	.write_text	n-a	writes verdict.txt (PASS/FAIL + notes) into the harness result dir
